FID,FireName,FireNo,Label,StartDate,EndDate,AreaHa,PerimeterM,Verdate,Type,Season,ID,Year,Year_Con,Shape__Area,Shape__Length
8475,Myall Park,28865,2009-10 Wildfire,2009/11/28 00:00:00+00,,0.00433317,30.45525299,26/03/2020,Wildfire,2009-10,8530,2009,2009/01/01 00:00:00+00,43.4453125,30.4947033207729
8476,Terry Hie Hie Road 26kms from Gravesend,28379,2009-10 Wildfire,2009/11/15 00:00:00+00,,38.3603614,3822.76273434,26/03/2020,Wildfire,2009-10,8531,2009,2009/01/01 00:00:00+00,384289.55078125,3826.18203418109
8477,Ceramic Break Park Grass Fire,28787,2009-10 Wildfire,2009/11/24 00:00:00+00,,12.92477855,1462.77309942,26/03/2020,Wildfire,2009-10,8532,2009,2009/01/01 00:00:00+00,129502.6796875,1464.21484871073
8478,Swindles Fire,0,2009-10 Wildfire,2010/02/01 00:00:00+00,,1.25806456,524.16184858,26/03/2020,Wildfire,2009-10,8533,2009,2009/01/01 00:00:00+00,12557.08203125,523.670588671025
8479,Kerringle(Pilliga) Forest,28430,2009-10 Wildfire,2009/11/16 00:00:00+00,,870.33647773,17274.9689311,26/03/2020,Wildfire,2009-10,8534,2009,2009/01/01 00:00:00+00,8703538.63671875,17275.169809691
8480,Stonehenge State Forest,28805,2009-10 Wildfire,2009/11/25 00:00:00+00,,2.41521739,601.95750853,26/03/2020,Wildfire,2009-10,8535,2009,2009/01/01 00:00:00+00,24204.859375,602.614081093377
8481,Stonehenge State Forest,28805,2009-10 Wildfire,2009/11/25 00:00:00+00,,8.67962469,1157.98823182,26/03/2020,Wildfire,2009-10,8536,2009,2009/01/01 00:00:00+00,86986.671875,1159.2576807399
8482,Yarrie Lake Rd Car-Grass Fire,28923,2009-10 Wildfire,2009/11/30 00:00:00+00,,0.49614511,321.97542798,26/03/2020,Wildfire,2009-10,8537,2009,2009/01/01 00:00:00+00,4965.11328125,322.09411189129
8483,Newell HWY Car/Grass Fire,28957,2009-10 Wildfire,2009/12/01 00:00:00+00,,1.05734609,483.12122846,26/03/2020,Wildfire,2009-10,8538,2009,2009/01/01 00:00:00+00,10609.9765625,483.954672264157
8484,Grass Fire- Eugowra Road,28951,2009-10 Wildfire,2009/12/01 00:00:00+00,,47.89949284,3791.34935773,26/03/2020,Wildfire,2009-10,8539,2009,2009/01/01 00:00:00+00,478088.76953125,3787.76138171549
